"type","twcrps","owcrps","percentile","percentile_value"
"upper",2.53442890067615,2.53442890067615,0,-Inf
"upper",0.427292243407242,1.01171519741728,0.9,53.341
"upper",0.271189487845827,0.879280104300262,0.95,60.45
"upper",0.163647183787749,0.850063866967499,0.975,68.76025
"upper",0.0928831924047156,0.914766295224371,0.99,78.7761
"lower",2.53442890067615,2.53442890067615,1,Inf
"lower",0.492643986440164,1.0916298081979,0.1,16.89
"lower",0.33497068044263,1.35775725819192,0.05,9.96
"lower",0.213911124489446,1.30625401103956,0.025,0.85
"lower",0.163714969764884,1.98182318115914,0.01,-6.1281
