,"European Union Emissions Trading System",,,," "
Date,"Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," "
2015-01-02,1,1.162133333,EUR,," "
2015-01-05,1,1.162133333,EUR,," "
2015-01-06,1,1.162133333,EUR,," "
2015-01-07,1,1.162133333,EUR,," "
2015-01-08,1,1.162133333,EUR,6.7," "
2015-01-09,1,1.162133333,EUR,6.71," "
2015-01-12,1,1.162133333,EUR,6.59," "
2015-01-13,1,1.162133333,EUR,6.77," "
2015-01-14,1,1.162133333,EUR,6.99," "
2015-01-15,1,1.162133333,EUR,7.1," "
2015-01-16,1,1.162133333,EUR,7.05," "
2015-01-19,1,1.162133333,EUR,7.06," "
2015-01-20,1,1.162133333,EUR,7.25," "
2015-01-21,1,1.162133333,EUR,," "
2015-01-22,1,1.162133333,EUR,7.02," "
2015-01-23,1,1.162133333,EUR,6.81," "
2015-01-26,1,1.162133333,EUR,6.76," "
2015-01-27,1,1.162133333,EUR,6.82," "
2015-01-28,1,1.162133333,EUR,6.76," "
2015-01-29,1,1.162133333,EUR,6.92," "
2015-01-30,1,1.162133333,EUR,6.96," "
2015-02-02,1,1.134965,EUR,7.06," "
2015-02-03,1,1.134965,EUR,7.06," "
2015-02-04,1,1.134965,EUR,," "
2015-02-05,1,1.134965,EUR,6.87," "
2015-02-06,1,1.134965,EUR,6.92," "
2015-02-09,1,1.134965,EUR,6.86," "
2015-02-10,1,1.134965,EUR,6.88," "
2015-02-11,1,1.134965,EUR,6.87," "
2015-02-12,1,1.134965,EUR,7.29," "
2015-02-13,1,1.134965,EUR,7.35," "
2015-02-16,1,1.134965,EUR,7.66," "
2015-02-17,1,1.134965,EUR,7.62," "
2015-02-18,1,1.134965,EUR,," "
2015-02-19,1,1.134965,EUR,7.37," "
2015-02-20,1,1.134965,EUR,7.26," "
2015-02-23,1,1.134965,EUR,7.2," "
2015-02-24,1,1.134965,EUR,7.66," "
2015-02-25,1,1.134965,EUR,7.35," "
2015-02-26,1,1.134965,EUR,7.29," "
2015-02-27,1,1.134965,EUR,6.93," "
2015-03-02,1,1.083768182,EUR,6.9," "
2015-03-03,1,1.083768182,EUR,6.82," "
2015-03-04,1,1.083768182,EUR,," "
2015-03-05,1,1.083768182,EUR,6.96," "
2015-03-06,1,1.083768182,EUR,6.7," "
2015-03-09,1,1.083768182,EUR,6.66," "
2015-03-10,1,1.083768182,EUR,6.67," "
2015-03-11,1,1.083768182,EUR,6.48," "
2015-03-12,1,1.083768182,EUR,6.61," "
2015-03-13,1,1.083768182,EUR,6.26," "
2015-03-16,1,1.083768182,EUR,6.36," "
2015-03-17,1,1.083768182,EUR,6.45," "
2015-03-18,1,1.083768182,EUR,," "
2015-03-19,1,1.083768182,EUR,6.7," "
2015-03-20,1,1.083768182,EUR,6.7," "
2015-03-23,1,1.083768182,EUR,6.94," "
2015-03-24,1,1.083768182,EUR,7.02," "
2015-03-25,1,1.083768182,EUR,6.77," "
2015-03-26,1,1.083768182,EUR,7," "
2015-03-27,1,1.083768182,EUR,6.9," "
2015-03-30,1,1.083768182,EUR,6.81," "
2015-03-31,1,1.083768182,EUR,6.79," "
2015-04-01,1,1.07793,EUR,," "
2015-04-02,1,1.07793,EUR,7.14," "
2015-04-07,1,1.07793,EUR,7.08," "
2015-04-08,1,1.07793,EUR,," "
2015-04-09,1,1.07793,EUR,7.12," "
2015-04-10,1,1.07793,EUR,6.96," "
2015-04-13,1,1.07793,EUR,6.82," "
2015-04-14,1,1.07793,EUR,6.77," "
2015-04-15,1,1.07793,EUR,," "
2015-04-16,1,1.07793,EUR,6.82," "
2015-04-17,1,1.07793,EUR,6.83," "
2015-04-20,1,1.07793,EUR,6.88," "
2015-04-21,1,1.07793,EUR,7.07," "
2015-04-22,1,1.07793,EUR,6.75," "
2015-04-23,1,1.07793,EUR,7.06," "
2015-04-24,1,1.07793,EUR,7.27," "
2015-04-27,1,1.07793,EUR,7.33," "
2015-04-28,1,1.07793,EUR,7.16," "
2015-04-29,1,1.07793,EUR,," "
2015-04-30,1,1.07793,EUR,7.52," "
2015-05-04,1,1.114955,EUR,," "
2015-05-05,1,1.114955,EUR,7.5," "
2015-05-06,1,1.114955,EUR,7.25," "
2015-05-07,1,1.114955,EUR,7.5," "
2015-05-08,1,1.114955,EUR,7.43," "
