"method","lead_time","t","twcrps","owcrps"
"ENS",0,0,1.42878215586273,1.42105201204633
"ENS",0,1,1.4151609587661,1.40814856833488
"ENS",0,2,1.33125098854933,1.32886608675941
"ENS",0,3,1.16774747103926,1.22985555911807
"ENS",0,4,0.981551684226819,1.19984089593389
"ENS",0,5,0.800223631269662,1.21737321419197
"ENS",0,6,0.643626105664156,1.25443412571293
"ENS",0,7,0.515344285191016,1.30954166422357
"ENS",0,8,0.412386973447378,1.37287169248663
"ENS",0,9,0.330122768955096,1.43042913867269
"ENS",0,10,0.264088066876516,1.45569679651246
"ENS",0,11,0.211142572698394,1.51620430370448
"ENS",0,12,0.167234092114385,1.52878407629838
"ENS",0,13,0.131536212735975,1.54468537150106
"ENS",0,14,0.102794622684124,1.56466223411048
"ENS",0,15,0.0798308092502173,1.62019656957763
"ENS",0,16,0.0614490493277034,1.59844260485394
"ENS",0,17,0.0471664446039657,1.60693980067154
"ENS",0,18,0.0364761937053978,1.76702057010418
"ENS",0,19,0.0283159148241594,1.85640260298723
"ENS",0,20,0.0220588029281178,1.9394004197847
"ENS",1,0,1.55419731848092,1.5444849356477
"ENS",1,1,1.54945381045065,1.53904512983187
"ENS",1,2,1.49001489836011,1.38920881256186
"ENS",1,3,1.32431326315246,1.17114743765396
"ENS",1,4,1.11674915974734,1.05591363587616
"ENS",1,5,0.912489974314025,0.988969099474228
"ENS",1,6,0.731350105429724,0.929677570447573
"ENS",1,7,0.581084362869966,0.907503147227853
"ENS",1,8,0.46152404459619,0.891876315499807
"ENS",1,9,0.366804114711716,0.882167040411842
"ENS",1,10,0.289384213414356,0.842223546587804
"ENS",1,11,0.227342836325772,0.823844552240472
"ENS",1,12,0.177804956392497,0.811424400521821
"ENS",1,13,0.139465992707962,0.779623017800639
"ENS",1,14,0.108899678366011,0.774493458050666
"ENS",1,15,0.0843147570155649,0.77518428686507
"ENS",1,16,0.0649103745123903,0.754452502336428
"ENS",1,17,0.0500165224760714,0.735059138776975
"ENS",1,18,0.0385869954266758,0.838586501402845
"ENS",1,19,0.0297628701180825,0.831391611098565
"ENS",1,20,0.0229524194789628,0.853797818615556
"ENS",2,0,1.43242288101556,1.42218636287612
"ENS",2,1,1.42744893715,1.41570338394783
"ENS",2,2,1.36842776965634,1.26201447754682
"ENS",2,3,1.20397436890177,1.04913349420093
"ENS",2,4,1.00134076483939,0.945905245643629
"ENS",2,5,0.806819472619219,0.896643838039384
"ENS",2,6,0.63990209009316,0.878934627384213
"ENS",2,7,0.505893232119841,0.890603757491325
"ENS",2,8,0.400769757483358,0.907223296015803
"ENS",2,9,0.319410805284992,0.933288727319375
"ENS",2,10,0.254393918915681,0.945205429895485
"ENS",2,11,0.202263679592462,0.952618598013946
"ENS",2,12,0.160399294691771,0.960656091501619
"ENS",2,13,0.126746279727251,0.976208493625319
"ENS",2,14,0.099607141508309,0.98380662410456
"ENS",2,15,0.0777700203408735,0.99537230920982
"ENS",2,16,0.0600907376735557,1.00133449292233
"ENS",2,17,0.0464517616665965,0.972194049869127
"ENS",2,18,0.0360544454532145,1.05896860673927
"ENS",2,19,0.028231400737444,1.17486843997819
"ENS",2,20,0.0220188838119277,1.23391574911284
"ENS",3,0,1.42303847585227,1.41239285919068
"ENS",3,1,1.41818613788147,1.40674967688181
"ENS",3,2,1.3582935897948,1.2488006944931
"ENS",3,3,1.19187259259072,1.02448132211167
"ENS",3,4,0.988906775664556,0.91988582020921
"ENS",3,5,0.794576488076769,0.86779796581633
"ENS",3,6,0.628469487860361,0.832961221522333
"ENS",3,7,0.493304821426021,0.838556517746194
"ENS",3,8,0.388785401074702,0.855330375640606
"ENS",3,9,0.307669024334768,0.876872153242117
"ENS",3,10,0.243533323973664,0.87782856682803
"ENS",3,11,0.193100064474787,0.894758941802563
"ENS",3,12,0.152657201242281,0.907487406081288
"ENS",3,13,0.119748674225237,0.915187073668512
"ENS",3,14,0.0933580477516271,0.92335326028134
"ENS",3,15,0.0727054159162917,0.954095227539439
"ENS",3,16,0.0562004549289929,0.970953243730732
"ENS",3,17,0.043278121809444,0.978892270992632
"ENS",3,18,0.0335022834820302,1.05743612563393
"ENS",3,19,0.0258849216125552,1.15317202359643
"ENS",3,20,0.02008344573851,1.20673043869128
"ENS",4,0,1.39588677763835,1.38467022404828
"ENS",4,1,1.39077391209476,1.37907403254953
"ENS",4,2,1.33105009370356,1.22395613785016
"ENS",4,3,1.1685652452294,1.00783768262519
"ENS",4,4,0.971001183714683,0.900495425305961
"ENS",4,5,0.781765908398197,0.846469775022617
"ENS",4,6,0.619776476740388,0.814201570230138
"ENS",4,7,0.488753174042728,0.815489898923545
"ENS",4,8,0.386047802976782,0.831079017589706
"ENS",4,9,0.305510270396756,0.860215285223531
"ENS",4,10,0.242528809663453,0.859205474528642
"ENS",4,11,0.192452256233866,0.85897427919204
"ENS",4,12,0.151484306532036,0.854395603738665
"ENS",4,13,0.118469413818687,0.856856466358779
"ENS",4,14,0.0928197100804201,0.894600357837105
"ENS",4,15,0.0727225681125781,0.930013490541105
"ENS",4,16,0.0565092725643779,0.954618666524713
"ENS",4,17,0.043520307186259,0.936344665750659
"ENS",4,18,0.0335458460455785,1.02381913862048
"ENS",4,19,0.0258248301391248,0.992326715832156
"ENS",4,20,0.0199903108568515,1.00024953230031
"ENS",5,0,1.35523043007715,1.34437009949079
"ENS",5,1,1.35011947793543,1.33925058231348
"ENS",5,2,1.29207215540564,1.19077229195627
"ENS",5,3,1.13821287626831,0.993869782810232
"ENS",5,4,0.953151013127229,0.896749998347839
"ENS",5,5,0.775780296698401,0.848384367334972
"ENS",5,6,0.619864939453744,0.806890818927283
"ENS",5,7,0.490529215839345,0.803714564100976
"ENS",5,8,0.387900682613463,0.81151098426515
"ENS",5,9,0.307341647690267,0.835149937917319
"ENS",5,10,0.243284806090772,0.819566069145729
"ENS",5,11,0.191874355146839,0.818272156692477
"ENS",5,12,0.150732420615084,0.811279338224326
"ENS",5,13,0.117730456290679,0.81460492654102
"ENS",5,14,0.0921470261680961,0.847368502441899
"ENS",5,15,0.0721601117632223,0.872383232109693
"ENS",5,16,0.0563235788227091,0.917118719505408
"ENS",5,17,0.0436502829949616,0.906206369687458
"ENS",5,18,0.0336174953543465,0.964537839950985
"ENS",5,19,0.0257144517023691,0.919142746635253
"ENS",5,20,0.0195990800004378,0.977603581225762
"ENS",6,0,1.31107540703277,1.30233173752306
"ENS",6,1,1.30691976545385,1.29808181947694
"ENS",6,2,1.25645915282528,1.17299830947541
"ENS",6,3,1.11842107572204,0.992746816104527
"ENS",6,4,0.951302300382781,0.902009012127721
"ENS",6,5,0.784372902628773,0.845145389270306
"ENS",6,6,0.632013061609295,0.794521478150127
"ENS",6,7,0.500753766534501,0.775804648624986
