"method","lead_time","t","twcrps","owcrps"
"HEN",0,0,0.766588445962816,0.761087583042232
"HEN",0,1,0.761691627010797,0.765806378804168
"HEN",0,2,0.723036152405173,0.700001155936755
"HEN",0,3,0.632634309593723,0.579905053312753
"HEN",0,4,0.536751570664344,0.474996243456942
"HEN",0,5,0.443176141396375,0.382310849069653
"HEN",0,6,0.359064647979614,0.299717425250226
"HEN",0,7,0.287679756031882,0.23468624427987
"HEN",0,8,0.229335937758104,0.184662323189327
"HEN",0,9,0.181618917563402,0.144311792649275
"HEN",0,10,0.143135303403123,0.109067156551487
"HEN",0,11,0.112725017321003,0.0856740799030969
"HEN",0,12,0.088161784021621,0.0655242179205715
"HEN",0,13,0.0687008755843828,0.0490167785790521
"HEN",0,14,0.0533303495226624,0.0374204851461572
"HEN",0,15,0.0409597225686984,0.0284419287797787
"HEN",0,16,0.031130087337152,0.0212562407476638
"HEN",0,17,0.0236021627123096,0.015529433710083
"HEN",0,18,0.0181534850162272,0.0146672928509909
"HEN",0,19,0.0139636437873497,0.0112180393939428
"HEN",0,20,0.0108157061029145,0.00881600442796444
"HEN",1,0,0.74821151184643,0.742754829936981
"HEN",1,1,0.74309392555126,0.74773307242449
"HEN",1,2,0.702921797037974,0.679076410687124
"HEN",1,3,0.611387064760664,0.560198013984912
"HEN",1,4,0.516585072807086,0.460130645557856
"HEN",1,5,0.425859504576826,0.36898735018512
"HEN",1,6,0.343931258348814,0.286377092572997
"HEN",1,7,0.274546421718113,0.225346597848048
"HEN",1,8,0.217579780687674,0.175425196390702
"HEN",1,9,0.171302961647831,0.137460969010425
"HEN",1,10,0.134604240819149,0.104081199821259
"HEN",1,11,0.105614662863963,0.0805677429082532
"HEN",1,12,0.0829527286822566,0.0625933725294996
"HEN",1,13,0.0648752486547944,0.0471447549497835
"HEN",1,14,0.0506952952169344,0.0366883302480759
"HEN",1,15,0.0392053021231648,0.0278281465420344
"HEN",1,16,0.0299983225663168,0.0208912689019686
"HEN",1,17,0.0228160423631209,0.0154765733258057
"HEN",1,18,0.0175161602349512,0.014394836106778
"HEN",1,19,0.0135770083935612,0.0113097832749272
"HEN",1,20,0.0105535648963305,0.00859576363513923
"HEN",2,0,0.774359068234317,0.768359693737422
"HEN",2,1,0.769051560694719,0.773063925238681
"HEN",2,2,0.727845947927913,0.700353895028448
"HEN",2,3,0.632687477926747,0.575362808187614
