method,lead_time,t,twcrps,owcrps
EMOS,0,0,0.916719544938811,0.911058640167847
EMOS,0,1,0.909320497538454,0.907520186414464
EMOS,0,2,0.8611761678402,0.842522623773023
EMOS,0,3,0.759847695737667,0.686956916982798
EMOS,0,4,0.641938432523098,0.554059756441339
EMOS,0,5,0.526912545459977,0.442713460897146
EMOS,0,6,0.425098757950062,0.347389818741967
EMOS,0,7,0.339876162608383,0.275393790968481
EMOS,0,8,0.271271490839202,0.225146195441715
EMOS,0,9,0.215912399242541,0.191247669727092
EMOS,0,10,0.171033176870851,0.164624389993396
EMOS,0,11,0.135542923676942,0.152391631158897
EMOS,0,12,0.106241956797318,0.142011567732587
EMOS,0,13,0.0825740588746015,0.132219115042166
EMOS,0,14,0.0640686382063543,0.127194188950382
EMOS,0,15,0.0489048590950547,0.121690672163867
EMOS,0,16,0.037112162623374,0.115859392731224
EMOS,0,17,0.0280953555260449,0.106948196610102
EMOS,0,18,0.0214896158390858,0.118534507178814
EMOS,0,19,0.0164627146645819,0.114708443436865
EMOS,0,20,0.0127460269193131,0.11382347426125
EMOS_SEA,0,0,0.901624093820635,0.895893055317353
EMOS_SEA,0,1,0.894693639336685,0.892822353087164
EMOS_SEA,0,2,0.847310378210544,0.828421004865973
EMOS_SEA,0,3,0.747109727841925,0.676207476635254
EMOS_SEA,0,4,0.630667161097351,0.546184011078552
EMOS_SEA,0,5,0.517868306113577,0.437710600039202
EMOS_SEA,0,6,0.418411279463957,0.344599441728707
EMOS_SEA,0,7,0.334943298988946,0.274617863812409
EMOS_SEA,0,8,0.267529663790437,0.227448843972944
EMOS_SEA,0,9,0.212613853420553,0.196572462375627
EMOS_SEA,0,10,0.168459419569826,0.169874017541796
EMOS_SEA,0,11,0.133348047335128,0.159259576885561
EMOS_SEA,0,12,0.104401933604319,0.148335784224325
EMOS_SEA,0,13,0.0811548774315452,0.13624169627582
EMOS_SEA,0,14,0.0628035825840152,0.128770550361302
EMOS_SEA,0,15,0.0481710233873454,0.124524345231829
EMOS_SEA,0,16,0.0364696872455803,0.116529666250577
EMOS_SEA,0,17,0.0277951139890097,0.108757819943675
EMOS_SEA,0,18,0.0212738491877413,0.119501958161282
EMOS_SEA,0,19,0.0163580552600114,0.112809214580321
EMOS_SEA,0,20,0.0127837320491301,0.112558811860505
EMOS_BST,0,0,0.815566576195309,0.810514396176565
EMOS_BST,0,1,0.809627576448712,0.805456374470967
EMOS_BST,0,2,0.76717898290434,0.743586656028638
EMOS_BST,0,3,0.674802297748752,0.613795116543357
EMOS_BST,0,4,0.57095806333632,0.502641048584979
EMOS_BST,0,5,0.470538636800071,0.411473147235251
EMOS_BST,0,6,0.381490692299436,0.339600859373279
EMOS_BST,0,7,0.306002251278674,0.29097991586955
EMOS_BST,0,8,0.244292514545864,0.260356757662284
EMOS_BST,0,9,0.194137975689731,0.239881572011242
EMOS_BST,0,10,0.153614911325745,0.216079622366294
EMOS_BST,0,11,0.121594166777605,0.205499581331315
EMOS_BST,0,12,0.0954622299059036,0.189463463284623
EMOS_BST,0,13,0.0745154295709931,0.174633878893352
EMOS_BST,0,14,0.0579120119263097,0.162677699144375
EMOS_BST,0,15,0.0445789278512714,0.150264193176973
EMOS_BST,0,16,0.0340293928166498,0.131264080616395
EMOS_BST,0,17,0.0259980817694747,0.111115113734553
EMOS_BST,0,18,0.0200605383607035,0.114965120767961
EMOS_BST,0,19,0.0155194504617539,0.103348342883349
EMOS_BST,0,20,0.0122219187355354,0.0963103396433919
MBM,0,0,0.948765861376736,0.942015068678315
MBM,0,1,0.941361151400528,0.940212391030611
MBM,0,2,0.891564531834434,0.872967635221112
MBM,0,3,0.78358479116868,0.723155268053997
MBM,0,4,0.660613201864258,0.597563932292614
MBM,0,5,0.541502813170393,0.502404813980861
MBM,0,6,0.436783940024576,0.431398247096228
MBM,0,7,0.349084196426063,0.39598646467362
MBM,0,8,0.278370299477207,0.390669087305018
MBM,0,9,0.221272602067588,0.396756773202743
MBM,0,10,0.175381260046173,0.390017404091294
MBM,0,11,0.138752666263175,0.40342162117784
MBM,0,12,0.108779607002155,0.400197309794033
MBM,0,13,0.0845111647329471,0.383779061491422
MBM,0,14,0.0654456129157806,0.374983128640194
MBM,0,15,0.0501029944090721,0.368861199822064
